ID,Work Item Type,Title,Assigned To,State,Tags
"96","Task","01 - What is WVD",,"New",
"97","Task","02 - WVD Requirements",,"New",
"98","Task","03 - Supported OS images",,"New",
"99","Task","04 - Network guidelines",,"New",
"100","Task","05 - Windows Virtual Desktop experience estimator",,"New",
"101","Task","06 - Virtual Machine Guidance",,"New",
"102","Task","07 - WVD Architecture Sample",,"New",
"103","Task","08 - FSLogix",,"New",
"104","Task","09 - Best Practices",,"New",
"105","Task","01 - Deploy an Azure AD Tenant",,"New",
"106","Task","02 - Deploy an Azure Subscription",,"New",
"107","Task","03 - Deploy Azure infrastructure and AD DS",,"New",
"108","Task","04 - Configure Azure AD Connect with AD DS",,"New",
"109","Task","05 - Windows Virtual Desktop environment concepts",,"New",
"110","Task","06 - Create Azure AD Security Groups for WVD",,"New",
"111","Task","07 - Assign users to Groups",,"New",
"112","Task","08 - Create a Master Image for WVD",,"New",
"113","Task","09 - Image Management",,"New",
"114","Task","10 - Define a strategy to store FSLogix profiles containers",,"New",
"115","Task","11 - FSLogix General Configuration",,"New",
"116","Task","12 - Using MSIX app attach ",,"New",
"117","Task","13 - Create a Host Pool for Pooled of Personal Desktops:",,"New",
"118","Task","14 - Create a Host Pool for Pooled Remote Apps",,"New",
"119","Task","15 - Configure host pool settings",,"New",
"120","Task","16 - Connect WVD with clients",,"New",
"121","Task","17 - Setup e-mail discovery to RDS feed",,"New",
"122","Task","18 - Setup Monitoring for WVD",,"New",
"123","Task","19 - Setup the WVD Scaling Tool",,"New",
"124","Task","20 - WVD Security",,"New",
"125","Task","21 - Configuring automatic updates using Endpoint Configuration Manager",,"New",
"126","Task","22 - WVD BCDR",,"New",
"127","Task","23 - GPO Suggestions",,"New",
"128","User Story","01 - WVD Architecture Guidance",,"New",
"129","User Story","02 - WVD Deployment Guidance",,"New",
